Institution Name,,,,
American Museum of Natural History,,,,Last Updated: 2August2023
Arizona State University,,,,
Baylor University,,,,
Brookhaven National Laboratory,,,,
California Institute of Technology,,,,
Cardiff University,,,,
Carnegie-Mellon University,,,,
Cedars-Sinai Medical Center,,,,
CERN,,,,
Cinvestav,,,,
Clarkson University,,,,
Clemson University,,,,
Colorado School of Mines,,,,
Compute Canada,,,,
Cornell University,,,,
Cybera,,,,
DUNE,,,,
Energy Sciences Network,,,,
ETH Zurich,,,,
Fermi National Accelerator Laboratory,,,,
Fermilab,,,,
Florida International University,,,,
Florida State University,,,,
Franklin and Marshall College,,,,
Georgia Institute of Technology,,,,
Georgia State University,,,,
Great Plains Network,,,,
IFAE,,,,
Illinois Institute of Technology,,,,
Indiana University,,,,
INFN-T1,,,,
Institute of Physics ASCR,,,,
International Centre for Theoretical Sciences,,,,
International Gravitational-Wave Observatory Network (IGWN),,,,
Internet2,,,,
Jefferson Lab,,,,
JINR,,,,
Johns Hopkins University,,,,
Kansas State University,,,,
Korea Institute of Science and Technology Information,,,,
Lafayette College,,,,
Lamar University,,,,
Lawrence Berkley National Laboratory,,,,
Lehigh University,,,,
Louisiana State University,,,,
Louisiana State University Health Sciences Center,,,,
Massachusetts Green High Performance Computing Center,,,,
Massachusetts Institute of Technology,,,,
Michigan State University,,,,
National Center for High-performance Computing,,,,
National Institute of Allergy and Infectious Diseases,,,,
National Oceanic and Atmospheric Administration,,,,
New Mexico State University,,,,
North Carolina State University,,,,
Oak Ridge National Laboratory,,,,
Ohio State University,,,,
Old Dominion University,,,,
Oral Roberts University,,,,
OSG,,,,
Penn State University,,,,
Pittsburgh Supercomputing Center,,,,
Planetary Science Institute,,,,
Portland State University,,,,
Purdue University,,,,
Rhodes College,,,,
Rice University,,,,
"Rutgers, The State University of New Jersey",,,,
SingAREN,,,,
Southern Illinois University Edwardsville,,,,
Stanford University,,,,
State University of New York at Stony Brook,,,,
SUNY Upstate Medical University,,,,
Swinburne University of Technology,,,,
Syracuse University,,,,
The College of New Jersey,,,,
The University of Alabama at Birmingham,,,,
The University of Kansas,,,,
Thomas Jefferson National Accelerator Facility,,,,
Tufts University,,,,
UC Irvine,,,,
Universidade do Estado do Rio de Janeiro,,,,
Universidade Estadual Paulista,,,,
Universite catholique de Louvain,,,,
University of Alabama,,,,
University of Amsterdam,,,,
University of Arizona,,,,
University of Arkansas at Little Rock,,,,
University of California Riverside,,,,
University of California San Diego,,,,
University of Central Florida,,,,
University of Chicago,,,,
University of Colorado,,,,
University of Colorado Anschutz Medical Campus,,,,
University of Colorado Boulder,,,,
University of Colorado Denver,,,,
University of Connecticut,,,,
University of Edinburgh,,,,
University of Florida,,,,
University of Hawaii,,,,
University of Illinois at Urbana Champaign,,,,
University of Maine System,,,,
University of Maryland,,,,
University of Massachusetts Lowell,,,,
University of Michigan,,,,
University of Mississippi,,,,
University of Nebraska,,,,
University of Nebraska-Lincoln,,,,
University of Notre Dame,,,,
University of Oklahoma,,,,
University of Oregon,,,,
University of Pennsylvania,,,,
University of Pittsburgh,,,,
University of Puerto Rico - Mayaguez,,,,
University of South Carolina,,,,
University of South Dakota,,,,
University of South Florida,,,,
University of Southern California,,,,
University of Tennessee Chattanooga,,,,
University of Texas Arlington,,,,
University of Texas at Austin,,,,
University of Utah,,,,
University of Washington,,,,
University of Wisconsin,,,,
University of Wisconsin Milwaukee,,,,
University of Wisconsin-Madison,,,,
Villanova University,,,,
Virginia Tech University,,,,
Wayne State University,,,,
West Texas A&M University,,,,
,,,,
