Institution Name,Has Resource(s),Has Project(s),IPEDS,Weird Stuff,NCES,"Google Lat, Lon",Group,_merge,UNITID,LON,LAT,unitid,name,city,hbcu,tribal,msi,iclevel,Benefited From
The University of Alabama at Birmingham,FALSE,TRUE,100663,,,,1,both,100663,-86.799345,33.505697,100663,University of Alabama at Birmingham,Birmingham,FALSE,FALSE,FALSE,Four or more years,TRUE
California Institute of Technology,TRUE,TRUE,110404,,,,2,both,110404,-118.125878,34.137349,110404,California Institute of Technology,Pasadena,FALSE,FALSE,FALSE,Four or more years,TRUE
"University of California, Davis",FALSE,TRUE,110644,,,,4,both,110644,-121.749567,38.539667,110644,University of California-Davis,Davis,FALSE,FALSE,FALSE,Four or more years,TRUE
"University of California, Irvine",FALSE,TRUE,110653,,,,5,both,110653,-117.841248,33.648434,110653,University of California-Irvine,Irvine,FALSE,FALSE,FALSE,Four or more years,TRUE
"University of California, San Diego",FALSE,TRUE,110680,TRUE,,,8,both,110680,-117.235866,32.877749,110680,University of California-San Diego,La Jolla,FALSE,FALSE,FALSE,Four or more years,TRUE
University of Southern California,TRUE,TRUE,123961,,,,11,both,123961,-118.284169,34.021281,123961,University of Southern California,Los Angeles,FALSE,FALSE,FALSE,Four or more years,TRUE
University of Colorado Boulder,FALSE,TRUE,126614,,,,12,both,126614,-105.270823,40.008781,126614,University of Colorado Boulder,Boulder,FALSE,FALSE,FALSE,Four or more years,TRUE
University of Hawaii at Manoa,FALSE,TRUE,141574,,,,13,both,141574,-157.818979,21.298598,141574,University of Hawaii at Manoa,Honolulu,FALSE,FALSE,FALSE,Four or more years,TRUE
University of Chicago,TRUE,TRUE,144050,,,,14,both,144050,-87.599539,41.787994,144050,University of Chicago,Chicago,FALSE,FALSE,FALSE,Four or more years,TRUE
University of Illinois Urbana-Champaign,FALSE,TRUE,145637,,,,15,both,145637,-88.229114,40.104718,145637,University of Illinois Urbana-Champaign,Champaign,FALSE,FALSE,FALSE,Four or more years,TRUE
LSU School of Public Health,FALSE,TRUE,159373,TRUE,,,18,both,159373,-90.083145,29.957272,159373,Louisiana State University Health Sciences Center-New Orleans,New Orleans,FALSE,FALSE,FALSE,Four or more years,TRUE
Johns Hopkins University,FALSE,TRUE,162928,,,,19,both,162928,-76.621595,39.328977,162928,Johns Hopkins University,Baltimore,FALSE,FALSE,FALSE,Four or more years,TRUE
Harvard Medical School,TRUE,TRUE,166027,TRUE,,,21,both,166027,-71.118313,42.374471,166027,Harvard University,Cambridge,FALSE,FALSE,FALSE,Four or more years,TRUE
Michigan State University,FALSE,TRUE,171100,,,,23,both,171100,-84.476111,42.73212,171100,Michigan State University,East Lansing,FALSE,FALSE,FALSE,Four or more years,TRUE
University of Missouri,FALSE,TRUE,178396,,,,25,both,178396,-92.328843,38.94531,178396,University of Missouri-Columbia,Columbia,FALSE,FALSE,FALSE,Four or more years,TRUE
University of Nebraska-Lincoln,FALSE,TRUE,181464,,,,26,both,181464,-96.700508,40.817598,181464,University of Nebraska-Lincoln,Lincoln,FALSE,FALSE,FALSE,Four or more years,TRUE
"Rutgers, The State University of New Jersey",FALSE,TRUE,186380,TRUE,,,27,both,186380,-74.446251,40.498769,186380,Rutgers University-New Brunswick,New Brunswick,FALSE,FALSE,FALSE,Four or more years,TRUE
Columbia University,FALSE,TRUE,190150,,,,28,both,190150,-73.961885,40.808286,190150,Columbia University in the City of New York,New York,FALSE,FALSE,FALSE,Four or more years,TRUE
State University of New York at Stony Brook,FALSE,TRUE,196097,,,,30,both,196097,-73.12046,40.91476,196097,Stony Brook University,Stony Brook,FALSE,FALSE,FALSE,Four or more years,TRUE
Duke University,FALSE,TRUE,198419,,,,32,both,198419,-78.937624,36.001135,198419,Duke University,Durham,FALSE,FALSE,FALSE,Four or more years,TRUE
University of Pennsylvania,TRUE,TRUE,215062,,,,36,both,215062,-75.19391,39.950929,215062,University of Pennsylvania,Philadelphia,FALSE,FALSE,FALSE,Four or more years,TRUE
University of Texas at Arlington,FALSE,TRUE,228769,,,,40,both,228769,-97.11296,32.729718,228769,The University of Texas at Arlington,Arlington,FALSE,FALSE,TRUE,Four or more years,TRUE
Virginia Tech University,FALSE,TRUE,233921,TRUE,,,42,both,233921,-80.423675,37.229012,233921,Virginia Polytechnic Institute and State University,Blacksburg,FALSE,FALSE,FALSE,Four or more years,TRUE
